OpCode,Drop,Rig,Region,Island,Lat,Long,Depth,Family,Genus,Species,Code,Number,Activity,Comment,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),TapeReader
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,11032,59.2887,791.354,2.552,2.769,2142.723,6.759,8.132,5.61,-251.855,12.668,-2127.832,Lauren Peel
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,11068,59.3088,925.046,2.472,2.793,1888.59,13.16,6.994,13.329,429.654,-16.45,-1838.994,Lauren Peel
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,11085,59.3182,782.149,13.237,8.039,3817.234,19.761,28.092,4.893,1187.734,-504.882,-3592.445,Lauren Peel
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,11184,59.3733,778.751,21.7,4.152,4673.439,13.206,34.478,16.264,-986.834,407.456,-4549.854,Lauren Peel
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,11251,59.4105,775.284,9.014,7.601,5083.246,8.181,6.567,17.128,696.088,196.742,-5031.515,Lauren Peel
BIOT_7097_EGMT_082_RIG3,82,RIG3,Egmont,Ile Des Rats,06 38.138,71 19.118,7.5 m,Carcharhinidae,Carcharhinus,melanopterus,37018036,1,Attracted,,21337,11.8658,1014.843,5.448,87.165,2958.781,7.797,16.882,16.263,-277.7,289.819,-2931.428,Lauren Peel
BIOT_7097_EGMT_082_RIG3,82,RIG3,Egmont,Ile Des Rats,06 38.138,71 19.118,7.5 m,Carcharhinidae,Triaenodon,obesus,37018038,1,Attracted,,6246,38.9095,841.471,1.778,51.568,1611.624,7.933,9.058,20.343,-218.249,42.972,-1596.199,Lauren Peel
BIOT_7097_EGMT_082_RIG3,82,RIG3,Egmont,Ile Des Rats,06 38.138,71 19.118,7.5 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,7543,39.6307,1104.763,9.053,98.363,3467.661,13.062,24.142,16.255,34.998,782.924,-3377.94,Lauren Peel
BIOT_7097_EGMT_082_RIG3,82,RIG3,Egmont,Ile Des Rats,06 38.138,71 19.118,7.5 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,7568,39.6446,961.807,1.868,53.205,1688.258,4.326,9.65,21.141,-5.487,127.234,-1683.448,Lauren Peel
BIOT_7097_EGMT_083_RIG4,83,RIG4,Egmont,Ile Des Rats,06 38.204,71 18.977,8.8 m,Carcharhinidae,Carcharhinus,melanopterus,37018036,1,Attracted,,11753,6.536,944.209,7.594,25.759,2758.889,13.299,31.222,3.128,-515.815,369.761,-2684.899,Lauren Peel
