Name,Date,Expedition,Atoll,Site,Transect,Quadrat,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,2221,143,Turfsa
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,2260,324,Turfsa
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,2026,1200,*EMA
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,2238,998,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,2179,1330,*TAPE
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,2048,999,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1861,1103,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1869,1644,Hard
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1935,1938,Hard
BIOT19_EgmontSite1_Mar3_T1_13m_IMG_0136.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,13m,,,,,,,,,,,,252,412,*CCAH
BIOT19_EgmontSite1_Mar3_T1_13m_IMG_0136.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,13m,,,,,,,,,,,,264,333,*CCAH
BIOT19_EgmontSite1_Mar3_T1_13m_IMG_0136.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,13m,,,,,,,,,,,,416,1066,Hard
