Date,Island,Site,Name,GPS_south,GPS_east,Compass_bearing,Transect,Transect_placement,Treatment,Treatment_ABC,Tag_number,T_start_depth_ft,T_end_depth_ft,Notes,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,2m,Caged,,50,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,2m,Uncaged,,50,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,6m,Caged,,51,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,6m,Uncaged,,51,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,10m,Caged,,52,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,10m,Uncaged,,52,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,14m,Partial,,53,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,14m,Caged,,53,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,14m,Uncaged,,53,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,19m,Partial,,54,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,19m,Caged,,54,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,19m,Uncaged,,54,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,25m,Caged,,55,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,25m,Uncaged,,55,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,0m,Caged,,56,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,0m,Uncaged,,56,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,6m,Caged,,57,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,6m,Uncaged,,57,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,10m,Caged,,58,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,10m,Uncaged,,58,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,16m,Caged,,59,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,16m,Uncaged,,59,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,20m,Caged,,60,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,20m,Uncaged,,60,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,27m,Caged,,61,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,270,1,27m,Uncaged,,61,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,0m,Caged,,62,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,0m,Uncaged,,62,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,4m,Caged,,63,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,4m,Uncaged,,63,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,9m,Caged,,64,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,9m,Uncaged,,64,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,15m,Caged,,65,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,15m,Uncaged,,65,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,16m and 17m,Caged,,66,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,16m and 17m,Uncaged,,66,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,25m,Caged,,67,,,,,,,
13-Mar-19,Nelson,North side,Nelson,,,290,2,25m,Uncaged,,67,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,0,Partial,,68,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,0,Caged,,68,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,0,Uncaged,,68,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,4.6,Caged,,69,,,,,,,
